,benchmark,best_reward,best_algorithm
0,adpcm,1.0083798882681567,rs_t10800
1,bitcount,1.0199115044247788,ppo_guided_search
2,blowfish,1.10178117048346,ppo_guided_search
3,bzip2,1.2212154350882676,ppo_guided_search
4,crc32,1.0,egreedy_10
5,dijkstra,1.0193548387096774,egreedy_10
6,ghostscript,1.0296089727338689,ppo_guided_search
7,gsm,1.1509380329732803,egreedy_10
8,ispell,1.028289936664321,ppo_guided_search
9,jpeg-c,1.0468425458040127,ppo_guided_search
10,jpeg-d,1.0493254773173644,ppo_guided_search
11,lame,1.1191801862340405,egreedy_10
12,patricia,1.0111234705228032,ppo_guided_search
13,qsort,1.1424148606811146,rs_t10800
14,rijndael,1.1151767151767151,egreedy_10
15,sha,1.557446808510638,egreedy_10
16,stringsearch,1.0191256830601092,rs_t10800
17,stringsearch2,1.003731343283582,rs_t10800
18,susan,1.0552853852060406,rs_t3600
19,tiff2bw,1.0445932877252035,ppo_guided_search
20,tiff2rgba,1.0461367226770069,ppo_guided_search
21,tiffdither,1.0488754325259515,ppo_guided_search
22,tiffmedian,1.0459000717188616,ppo_guided_search
